StudyData-SR_,22,StudyData-SR_22,StudyData-SR_30,n/a,n/a,2016-10-07,JHP,2016-10-28,,,Incomplete,TT,NYU,Daniel Friedman,Publication,Cloud (BOX),ECOG data,Yes,Investigator Initiated,Institution ICF,IRB,S15-00209,,Neurophysiology of Human Cognition in NeuroPace-Implanted Patients,2016-10-04,2017-03-02,,,Single,TBD,TBD,Epilepsy,Institution,No,No,No,,n/a,n/a,,
StudyData-SR_,23,StudyData-SR_23,n/a,n/a,n/a,2016-11-01,JHP,2016-11-07,2016-11-07,TAC,Ongoing,TT,Dartmouth,Barbara Jobst,Study,Cloud (BOX),.dat files,Yes,Investigator Initiated,Institution ICF,IRB,IRB 29468,NSR,"Memory, Epilepsy And Brain Stimulation: Oscillatory Patterns During Real-World Navigation And Free Recall In Chronically Implanted Humans",2016-04-28,2017-04-27,,,Single,no,no,Epilepsy,Institution,No,No,No,,n/a,n/a,,Initial ICF and protocol did not include exact NP sharing language however review determined ICF covered sharing data with center. Approved data sharing for initial subject with caveat that protocol and ICF must be revised before further data sharing will be approved.
StudyData-SR_,24,StudyData-SR_24,n/a,n/a,n/a,2016-11-29,TAC,2016-11-29,2016-11-29,TAC,Ongoing,FS,MGH,Emad Eskandar,Research,Cloud (BOX),Other,No,NP Sponsored,NP ICF,IDE/PMA,G030126,n/a,n/a,,,,,Multiple,no,no,MRI,n/a,Yes,Yes,"Yes, current",,n/a,n/a,,pdf of images
StudyData-SR_,25,StudyData-SR_25,,,,2016-12-27,JHP,,,,In Review,TT,Yale,Imran Qurasishi,Study,,,Yes,Investigator Initiated,Institution ICF,IRB,1609018351,,,,,,,,,,,,,,,,,,,
StudyData-SR_,26,StudyData-SR_26,,,,2017-01-10,JHP,,,,In Review,TT,Stanford,Kimford Meador,Study,Cloud (BOX),,Yes,Investigator Initiated,Institution ICF,IRB,,,,,,,,Multiple,,,,,,,,,,,,"Multi-center:  Stanford, Pacific,- Emory"
StudyData-SR_,27,StudyData-SR_27,,,,2017-01-12,JHP,,,,In Review,TT,UCLA,Nanthia Suthana,Study,,,Yes,Investigator Initiated,Institution ICF,IRB,,,,,,,,Single,,,Spatial Navigation,Grant Institution,,,,,,,,
StudyData-SR_,28,StudyData-SR_28,,,,2017-02-14,JHP,,,,In Review,NH,UCI,Jack J Lin,Study,Cloud (BOX),,Yes,Investigator Initiated,Institution ICF,IRB,,,,,,,,Multiple,,,Visual-Spatial Learning,,,,,,,,,UCI and UC Berkeley
StudyData-SR_,29,StudyData-SR_29,,,,2017-02-16,JHP,2017-02-16,2017-02-16,JHP,Ongoing,NH,UCLA,Nadara Pouratian,Study,Cloud (BOX),ECOG data,Yes,Investigator Initiated,Institution ICF,IRB,15-001117,,Study to Assess the Feasibility of Stimulating the Visual Cortex in Blind Volunteers,2016-05-27,2017-05-25,,,Single,,,Visual Prosthesis,,,,,,,,,
StudyData-SR_,30,StudyData-SR_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StudyData-SR_,31,StudyData-SR_31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StudyData-SR_,32,StudyData-SR_32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StudyData-SR_,33,StudyData-SR_33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StudyData-SR_,34,StudyData-SR_34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StudyData-SR_,35,StudyData-SR_35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StudyData-SR_,36,StudyData-SR_36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StudyData-SR_,37,StudyData-SR_37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StudyData-SR_,38,StudyData-SR_38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StudyData-SR_,39,StudyData-SR_39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StudyData-SR_,40,StudyData-SR_40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StudyData-SR_,41,StudyData-SR_41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StudyData-SR_,42,StudyData-SR_42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StudyData-SR_,43,StudyData-SR_43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StudyData-SR_,44,StudyData-SR_44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StudyData-SR_,45,StudyData-SR_45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StudyData-SR_,46,StudyData-SR_46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StudyData-SR_,47,StudyData-SR_47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StudyData-SR_,48,StudyData-SR_48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StudyData-SR_,49,StudyData-SR_49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StudyData-SR_,50,StudyData-SR_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
